"","X","LAT","LONG","SP_GROUP","AGE","P0","BA","D","H","YEAR","FOREST_TYPE","TOTAL_VOLUME"
"5",5,60.1,22.6,1,74,1360.305,48.79774929,28.74727948,20.27908422,2010,3,463.4538727
"25",25,60.4,22.7,1,70,1284.535,27.35054153,26.70479047,18.82460563,2010,3,243.9004112
"30",30,60.5,24.7,4,47,1206.5025,13.44299856,18.51335312,14.85625944,2010,2,90.99685043
"61",61,60.7,21.8,1,35,1328.57,19.31556551,10.04445961,7.792075137,2010,4,83.75471251
"62",62,60.7,22,2,71,1299.725,28.67097653,24.66295873,18.64257316,2010,3,250.991629
"74",74,60.8,27.8,1,26,1224.97,21.33175348,12.07431997,9.071741718,2010,3,104.0708913
"81",81,60.9,22.5,1,78,1236.3825,16.19654249,21.99469776,15.5867864,2010,7,123.1810371
"86",86,60.9,25.1,1,41,1173.395,34.24617124,20.33974404,14.47915594,2010,3,244.8443092
"88",88,60.9,27.3,1,96,1212.6575,48.99337885,31.36983901,22.48568182,2010,3,508.4318819
"89",89,60.9,27.3,2,77,1212.6575,45.47887227,27.64505478,21.19747059,2010,2,447.3632347
"91",91,61,21.8,1,37,1285.915,42.80763985,19.95706081,14.24172358,2010,3,301.8716909
"92",92,61,23.1,1,38,1189.845,36.03408838,17.20762441,12.40427065,2010,4,226.5118059
"93",93,61,23.8,1,86,1156.125,21.00840392,23.74030446,16.77609593,2010,3,169.9803586
"96",96,61,21.3,4,57,1338.045,11.95027003,23.25243994,18.18801489,2010,2,96.70950151
"97",97,61,24.9,1,43,1153.805,17.90147855,24.9903712,17.62377671,2010,3,150.9853937
"105",105,61.1,22,1,97,1253.8575,37.05789954,24.68924176,17.4905,2010,4,310.6488427
"110",110,61.2,28.2,2,42,1226.1825,24.74512713,16.93597302,13.19155625,2010,3,160.5370654
"118",118,61.2,24.7,2,61,1136.555,33.85937828,18.76705109,14.46564976,2010,2,237.9129859
"122",122,61.3,25.1,1,108,1136.79,43.51066142,24.74390462,17.48250606,2010,3,364.5355648
"129",129,61.3,27.6,1,153,1167.1475,29.3676951,10.82545061,8.304585459,2010,4,133.7272525
"133",133,61.3,22.9,2,64,1175.6225,24.44181139,21.4266278,16.31227393,2010,2,190.5322895
"136",136,61.4,25.1,2,92,1138.18,32.97409499,33.23585296,25.04853564,2010,2,371.755386
"142",142,61.4,27.1,1,22,1152.8525,7.27432458,8.360996305,6.749029579,2010,3,28.34625032
"143",143,61.4,27.1,1,98,1152.8525,23.88266875,23.33537602,16.49578304,2010,4,190.5090458
"145",145,61.4,23.3,2,61,1154.365,16.48605315,22.79599126,17.2819883,2010,3,135.1089252
"146",146,61.4,23.7,1,39,1151.9975,21.05621941,26.99648468,18.38297938,2010,2,183.5782317
"180",180,61.7,22.6,1,26,1155.04,26.79917149,12.84126324,9.571155,2010,4,136.4271778
"190",190,61.8,29.6,2,43,1160.8375,32.67339113,9.176132191,7.991715579,2010,2,140.0343096
"194",194,61.8,27.3,1,28,1126.7975,16.74368276,15.6863217,11.38006873,2010,3,98.03608629
"205",205,61.9,25,1,28,1104.42,9.126280414,11.66380933,8.783564575,2010,4,43.40439635
"207",207,61.9,25.3,4,48,1124.155,19.97201065,17.13952484,13.92283118,2010,3,127.6451958
"212",212,61.9,29.4,4,34,1174.1125,34.09659502,11.23708458,9.966678139,2010,3,162.6685741
"214",214,61.9,28.5,1,72,1151.4675,16.14355569,19.57213906,13.95939872,2010,4,111.9416865
"218",218,61.9,27.6,1,48,1110.6325,19.41615954,6.673371693,5.829763865,2010,5,68.27462654
"220",220,61.9,22.3,4,54,1158.9325,23.5909732,12.30043982,10.67805355,2010,4,119.4206132
"223",223,62,22.8,1,39,1099.73,6.885882818,11.97002296,9.002553219,2010,5,33.39157219
"228",228,62,24.4,2,94,1102.6625,24.67982571,24.58693805,18.56315908,2010,3,215.1682897
"229",229,62,24.6,2,65,1100.555,28.12212739,24.05372348,18.20315056,2010,3,241.1581293
"262",262,62.1,27.8,1,53,1117.83,16.0146046,12.33846171,9.253465873,2010,5,79.36859182
"267",267,62.1,27.8,1,36,1117.83,19.19219986,14.45898024,10.59352187,2010,4,106.0055381
"269",269,62.2,22.3,1,123,1109.495,28.51765293,15.0252722,10.93826521,2010,4,161.6540152
"276",276,62.2,30.4,1,59,1119.435,33.51007727,16.30651597,11.8173161,2010,4,202.3944297
"285",285,62.2,26.7,1,84,1093.4575,43.559001,20.93189346,15.0665,2010,3,322.2148625
"287",287,62.2,27.4,1,54,1113.47,23.2314882,18.33379741,13.13489888,2010,4,153.1223914
"288",288,62.2,27.8,1,41,1117.83,34.93311947,18.88702448,13.52071018,2010,3,235.8804606
"289",289,62.2,25,1,40,1084.835,35.85138166,17.44246674,12.54882576,2010,2,227.5251686
"297",297,62.3,22.6,1,135,1088.1825,31.03353231,25.81995017,18.18448989,2010,3,268.7454087
"308",308,62.3,30.7,1,21,1089.435,11.48706142,6.943121067,5.940186061,2010,3,40.90925701
"310",310,62.3,26.9,1,42,1089.295,22.6823255,17.22600426,12.40153757,2010,4,142.5482643
"312",312,62.3,27.4,1,37,1102.1675,28.30185754,16.39824972,11.86809595,2010,3,171.5360303
"322",322,62.4,26.6,1,62,1091.685,26.53701999,16.69056683,12.06918117,2010,4,163.0863733
