LAT,LONG,SP_GROUP,AGE,P0,BA,D,H,N,YEAR,FOREST_TYPE,VOLUME
59.9,23.5,1,47,1342.9325,17.99862209,20.04079907,14.2499834,570.5836323,2010,4,126.9614701
60,23.4,2,37,1342.9325,41.33980848,19.64427768,15.07743372,1363.975125,2010,1,301.0881431
60.1,23.6,1,34,1313.6175,33.95560011,18.90811564,13.5062009,1209.274875,2010,2,229.0502734
60.2,24.5,1,112,1277.6475,15,26.025,15.9392611,281.9810357,2010,7,115.1621211
60.2,23,2,60,1294.6725,36.23864383,24.82837736,18.76818323,748.4889275,2010,3,319.1195444
60.3,23.9,1,23,1315.755,14.20767968,9.402784746,7.38082014,2046.069057,2010,3,59.13551523
60.3,25.2,1,105,1289.42,40.7501851,17.96640221,12.90392426,1607.375959,2010,3,264.6744561
60.3,25.4,2,52,1301.9675,42.50334543,19.94518263,15.30090094,1360.370478,2010,3,313.6104315
60.3,23.2,1,45,1260.6475,26.76494312,21.66449099,15.35298271,726.0716235,2010,2,200.9812298
60.4,23.4,1,128,1233.365,37.14124328,25.80962136,18.27441667,709.9099926,2010,3,323.1026334
60.4,23.6,1,83,1233.365,15.06984448,21.7379331,15.38153075,406.0526914,2010,7,113.3288073
60.4,24.5,1,63,1242.0075,36.69575795,13.67959108,10.12500321,2496.776973,2010,4,195.4325712
60.4,26.2,1,36,1340.21,34.66082075,11.93000218,8.998929275,3100.758298,2010,3,168.0386978
60.4,22.7,1,70,1284.535,27.35054153,26.70479047,18.82460563,488.3123391,2010,3,243.9004112
60.5,23.6,4,18,1218.0825,3.531622865,11.29512621,10.01705155,352.4538532,2010,3,16.92286516
60.5,24,4,53,1217.58,19.74443603,19.41230454,15.48712508,667.1149301,2010,4,138.6859403
60.5,24.5,1,193,1198.7425,13,25.88571429,15.2282302,247.0205954,2010,7,95.82477639
60.5,24.7,2,67,1206.5025,37.3234857,26.53542045,20.00878725,674.9014611,2010,2,347.3286284
60.5,21.4,1,101,1405.395,17.03379895,20.45780656,14.43714815,518.2072683,2010,5,121.431768
60.5,25.4,2,59,1234.37,26.8546606,20.73938638,15.83190615,794.946646,2010,2,203.9983929
60.5,25.8,2,67,1244.5525,33.93178328,32.31883696,24.35282013,413.6236434,2010,2,373.5964302
60.5,27.5,1,40,1294.7075,30.36245992,9.839416043,7.694193852,3993.083799,2010,4,130.4098799
60.5,25.4,1,73,1234.37,36.02649514,15.90715963,11.55943396,1812.787315,2010,4,213.6873502
60.6,24.7,2,57,1206.5025,39.07252065,25.12513954,18.979952,788.0696154,2010,2,347.4092599
60.6,24.5,1,59,1198.7425,33.13446611,25.05131449,17.8915,672.2472864,2010,3,283.2931508
60.6,24.9,2,49,1198.6675,31.83039617,18.58388828,14.33312255,1173.488913,2010,2,221.8596577
60.6,25.1,2,50,1202.7175,34.00468809,18.4178433,14.22734836,1276.354656,2010,3,235.5428074
60.6,25.2,2,49,1202.7175,17.68686384,21.12438342,16.09447135,504.6530102,2010,3,136.2659906
60.6,25.6,1,22,1218.7575,22.06240606,18.65250404,13.34504137,807.3999288,2010,4,147.3484658
60.6,25.6,1,44,1218.7575,21.08361909,22.09340324,15.63473192,549.9586555,2010,2,160.751936
60.6,26.2,1,31,1247.91,28.92402349,15.17601208,11.05303831,1599.018531,2010,2,165.3684601
60.6,26.9,1,19,1247.29,5.197510351,7.576707849,6.246473343,1152.774599,2010,2,19.16400021
60.6,27.3,1,34,1260.265,35.27412362,13.01931282,9.693024444,2649.660474,2010,3,181.3985923
60.6,22.1,1,35,1296.165,35.56029745,15.70623283,11.41893701,1835.403017,2010,4,208.81116
60.7,22.7,1,89,1235.435,27.24896941,24.20599624,17.09276664,592.1261986,2010,4,223.9750289
60.7,22.9,1,39,1225.6325,17.44556624,16.64845268,12.02393911,801.396491,2010,5,106.8754941
60.7,23.6,1,40,1189.9075,8.259646333,11.48178111,8.681496468,797.7247093,2010,7,38.9267056
60.7,23.4,2,54,1202.7225,43.65404559,19.90777845,15.494,1402.455269,2010,2,326.9301389
60.7,24,1,63,1173.5525,38.12583069,15.00509447,10.97965371,2156.01593,2010,4,216.826738
60.7,24,1,50,1173.5525,40.3468714,17.60356664,12.67094252,1657.748506,2010,4,258.1320054
60.7,24.9,1,54,1198.6675,21.36095686,19.41719616,13.84562187,721.3695157,2010,4,147.1055105
60.7,24.9,1,37,1198.6675,7.290828836,8.235468126,6.688979519,1368.706847,2010,5,28.22858363
60.7,25.1,1,44,1202.7175,8.390609865,12.33798454,9.230304558,701.802973,2010,6,41.49836914
60.7,26.4,1,53,1237.6275,27.89769352,22.48965598,15.98206667,702.2840307,2010,3,216.7388408
60.7,27.1,1,36,1255.255,42.29427168,19.65546288,14.02872716,1393.879137,2010,3,294.5058137
60.7,27.8,2,83,1245.38,40.51260241,18.26099997,14.12650851,1546.860498,2010,3,278.9426991
60.7,28,1,43,1250.855,28.90056529,21.68144458,15.37570567,782.7805508,2010,4,217.297046
60.7,27.3,2,70,1234.465,33.64600746,17.90246935,13.87340272,1336.650232,2010,3,228.0505845
60.7,27.3,4,56,1234.465,38.88316145,30.45451933,23.62511111,533.7872409,2010,1,394.5754672
60.7,21.8,1,35,1328.57,19.31556551,10.04445961,7.792075137,2437.610952,2010,4,83.75471251
60.8,22.7,2,58,1225.5025,24.41668723,24.01565841,18.16601223,539.023703,2010,3,208.9784114
60.8,23.8,1,50,1168.0725,24.84918389,26.46955879,18.68628571,451.5739119,2010,3,220.2395915
60.8,21.4,1,96,1374.8775,28.04169154,26.33034366,18.53426049,514.9929354,2010,3,246.7721712
60.8,24.7,2,134,1183.68,51.44176309,30.93150248,23.82119048,684.5795656,2010,2,560.2382982
60.8,21.4,1,44,1374.8775,24.09817679,15.70876603,11.39646969,1243.397993,2010,4,141.2648426
60.8,25.6,1,25,1184.5575,28.33174824,11.44111825,8.687097089,2755.792689,2010,3,133.6048097
60.8,25.8,2,101,1191.175,26.99495137,32.76103956,24.66828877,320.2412851,2010,3,300.3722574
60.8,26.9,1,29,1225.3275,37.20022673,17.01296996,12.27513992,1636.422473,2010,3,231.8278802
60.8,27.3,1,49,1234.465,31.65877728,23.97472785,16.94405711,701.2887696,2010,3,258.3211507
60.8,27.5,1,52,1238.7525,19.37264504,19.72189082,14.04509041,634.1645178,2010,3,135.0137502
60.8,27.8,1,26,1224.97,21.33175348,12.07431997,9.071741718,1862.99339,2010,3,104.0708913
60.8,21.6,1,60,1333.19,32.82165317,18.63251788,13.34294596,1203.725545,2010,4,219.1869483
60.8,21.6,1,76,1333.19,40.6965308,25.14101489,18.55813636,819.7886423,2010,3,359.7149279
60.8,21.8,1,20,1309.6825,3.745798375,16.28561494,11.71664722,179.8233945,2010,4,22.45821773
60.8,27.1,1,31,1228.98,28.50106265,15.70613568,11.40903713,1471.067097,2010,4,167.2343128
60.8,27.3,1,48,1234.465,26.44449699,20.30197599,14.44044503,816.899837,2010,4,188.6330893
60.8,27.8,1,25,1224.97,6.173231118,14.36926297,10.49884211,380.674398,2010,3,33.84550512
60.8,21.8,1,117,1309.6825,20.02401966,31.67729352,22.30580668,254.0769364,2010,4,206.0730276
60.9,22,1,63,1271.285,11.36846846,17.26318567,12.4196593,485.702341,2010,5,71.53035985
60.9,22.5,1,136,1236.3825,16.51442444,28.53364169,20.05017404,258.2611938,2010,4,155.2991954
