plot,x_coord,y_coord,xystdev,domspec,sub,site,ba_pine,dbh_pine,h_pine,cbh_pine,ba_spruce,dbh_spruce,h_spruce,cbh_spruce,ba_birch,dbh_birch,h_birch,cbh_birch,ba_other,dbh_other,h_other,cbh_other,clos,cov,LAI,Closure75,Gaps1,Gaps2,Gaps3,Gaps4,Gaps5,WithinGaps1,WithinGaps2,WithinGaps3,WithinGaps4,WithinGaps5,BetweenGaps1,BetweenGaps2,BetweenGaps3,BetweenGaps4,BetweenGaps5
50,638574.5864,6954054.867,0.919143,1,1,2,15,24.5,20.9,12.8,0,0,0,0,6,19.3,28.3,13.3,1,22.5,19,5.3,0.71084645,0.89344619,2.865535,0.886935,0.292846,0.237462,0.163374,0.084674,0.023227,0.167457,0.163589,0.139053,0.079504,0.022645,0.125389,0.073874,0.02432,0.00517,0.000582
51,638528.9336,6953853.399,0.055055,1,1,3,21,23.9,17.2,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0.47590768,0.63765214,1.63608,0.723103,0.559199,0.461225,0.39123,0.252599,0.098147,0.188357,0.222825,0.232592,0.188948,0.088153,0.370842,0.2384,0.158638,0.063651,0.009994
52,637431.3606,6952722.348,0.068334,2,1,3,0,0,0,0,16,21,18.5,6.5,3,20.8,24.2,12,0,0,0,0,0.4822671,0.57155139,2.433383,0.842276,0.545723,0.319892,0.209371,0.110439,0.037361,0.093453,0.121302,0.128163,0.090008,0.034383,0.45227,0.19859,0.081208,0.020431,0.002978
53,649467.459,6944577.47,0.738765,1,3,4,1,5.6,4.4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,5.15E-03,7.33E-03,0.030945,0.026871,0.999998,0.993989,0.988135,0.976962,0.946376,0,0.002683,0.005402,0.013133,0.034097,0.999998,0.991306,0.982733,0.963829,0.912279
54,649220.7818,6945558.409,0.852303,1,3,3,22,18.3,17.9,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0.47557706,0.64139924,2.300299,0.811202,0.520846,0.396425,0.279667,0.1323,0.037525,0.189871,0.213418,0.198373,0.115071,0.036625,0.330974,0.183006,0.081294,0.017229,0.000901
55,648702.9291,6944785.25,0.480785,3,3,3,2,38.7,23.9,12.2,0,0,0,0,3,10.5,10.4,3.3,0,0,0,0,0.167572358,0.232890231,0.872287,0.500739,0.84284,0.723333,0.613804,0.500977,0.271285,0.069326,0.109509,0.172868,0.208078,0.172968,0.773513,0.613824,0.440936,0.292899,0.098317
56,643363.531,6949120.745,1.294337,1,1,2,17,37.3,38.5,20.4,0,0,0,0,7,15.9,15.9,7.5,2,23.2,19.1,6.1,0.79924891,0.92596387,3.296871,0.924366,0.195297,0.144602,0.107899,0.062832,0.017328,0.132279,0.114565,0.097048,0.059548,0.017009,0.063018,0.030037,0.010851,0.003284,0.000319
57,642305.6917,6948647.903,0.844091,1,1,4,4,26.8,24,14.8,0,0,0,0,3,6.9,6.3,1.4,0,0,0,0,0.04471983,0.05537912,0.58875,0.379666,0.943446,0.871799,0.760532,0.596851,0.387788,0.024218,0.042864,0.069481,0.111735,0.130356,0.919227,0.828934,0.69105,0.485115,0.257432
58,644569.8212,6950216.35,1.293158,3,1,2,1,17.2,15.3,5.1,0,0,0,0,19,17.4,19.9,7,0,0,0,0,0.69731848,0.81950951,2.791525,0.889516,0.310617,0.22726,0.155505,0.07489,0.031088,0.141628,0.132272,0.118802,0.067231,0.030733,0.168989,0.094987,0.036704,0.007658,0.000355
59,639030.8923,6954093.556,1.500934,1,1,2,35,24.9,21.3,13.1,0,0,0,0,1,16.3,20.7,10.2,0,0,0,0,0.64815973,0.88904381,2.62782,0.873236,0.348561,0.256363,0.173291,0.095143,0.03412,0.223353,0.197442,0.152421,0.088121,0.032437,0.125208,0.058921,0.02087,0.007022,0.001684
60,638909.9416,6953890.927,1.120143,2,1,3,9,13.5,14.8,10.1,20,15.6,13.5,8.5,4,15.4,15,12.2,0,0,0,0,0.885935,0.975272,4.447927,0.964125,0.164412,0.091312,0.04414,0.016572,0.004616,0.113036,0.075975,0.043033,0.016269,0.004616,0.051376,0.015336,0.001107,0.000304,0
61,639614.1031,6953790.487,1.351925,1,1,4,29,11.9,10.4,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0.645140186,0.836354135,2.297106,0.820549,0.446601,0.357326,0.25817,0.145046,0.039361,0.246683,0.254196,0.225653,0.141523,0.038791,0.199917,0.10313,0.032517,0.003523,0.000569
62,645902.1754,6948257.425,0.041132,1,3,3,22,9.4,9.4,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0.451861498,0.65188776,1.361269,0.676879,0.548663,0.491953,0.412248,0.307237,0.169336,0.206059,0.236466,0.24838,0.237723,0.147445,0.342604,0.255487,0.163868,0.069515,0.021891
63,645289.3606,6947729.193,0.797483,1,3,3,18,18,18.4,10.6,0,0,0,0,1,8.2,9.9,1.9,0,0,0,0,0.692756081,0.884852163,2.703016,0.871012,0.361488,0.277112,0.181248,0.091527,0.027914,0.216368,0.199951,0.154295,0.088037,0.027518,0.14512,0.077161,0.026953,0.00349,0.000396
64,643582.5646,6948483.262,0.04885,1,1,2,11,17.4,16,6.7,0,0,0,0,7,16.8,16.9,5.4,1,8.8,10.2,3,0.808130328,0.899251061,3.512597,0.921194,0.281252,0.179228,0.109306,0.050511,0.009849,0.152819,0.123992,0.096819,0.049508,0.009849,0.128433,0.055237,0.012487,0.001002,0
65,635046.451,6949799.566,0.728107,1,1,3,14,28.2,22,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0.3762402,0.532596917,1.281289,0.646815,0.685138,0.555962,0.44911,0.334803,0.166849,0.133624,0.169001,0.195233,0.187393,0.126747,0.551514,0.386961,0.253877,0.147409,0.040102
66,638256.9068,6947785.174,0.07107,1,1,2,10,30.6,25.3,15,0,0,0,0,3,19,21.9,7.3,7,34,32.6,10.5,0.882841495,0.980679777,3.372302,0.938166,0.139346,0.116213,0.082983,0.047623,0.024893,0.107186,0.097136,0.076952,0.046655,0.02476,0.03216,0.019077,0.006031,0.000968,0.000133
67,638517.318,6951441.139,1.207689,1,1,5,15,7.3,5.8,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.331513146,0.472264205,1.159274,0.622491,0.61074,0.536021,0.456502,0.36913,0.227534,0.201517,0.227756,0.263714,0.262905,0.193675,0.409222,0.308265,0.192788,0.106225,0.033858
68,638529.1789,6951532.805,0.894398,1,1,4,5,4.5,4.1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.063470964,0.084913812,0.453522,0.323025,0.988883,0.889711,0.746538,0.660366,0.505924,0.004208,0.051454,0.122073,0.183764,0.244483,0.984674,0.838256,0.624465,0.476602,0.261441
69,641219.3463,6952465.655,0.855328,1,1,3,8,25.6,26.3,17.7,0,0,0,0,0,0,0,0,0,0,0,0,0.090428,0.116689,0.358746,0.266185,0.908121,0.87289,0.815072,0.747677,0.579526,0.040894,0.05702,0.08749,0.141307,0.250217,0.867227,0.81587,0.727582,0.606369,0.329309
